Zip,Median,Mean
2806,"105,128","131,774"
2807,"75,417","99,379"
2808,"73,725","87,590"
2809,"65,256","80,115"
2812,"72,819","89,720"
2813,"69,956","87,827"
2814,"79,171","84,321"
2815,"78,476","93,391"
2816,"68,135","75,982"
2817,"81,419","95,881"
2818,"90,430","117,615"
2822,"98,411","105,363"
2825,"73,268","95,033"
2826,"65,948","78,029"
2827,"79,051","88,882"
2828,"78,326","92,802"
2830,"65,423","75,289"
2831,"68,687","81,386"
2832,"71,453","81,507"
2833,"71,104","79,440"
2835,"77,813","107,319"
2836,"72,819","89,720"
2837,"94,866","114,713"
2838,"62,982","77,405"
2839,"65,948","78,029"
2840,"58,815","77,476"
2841,"53,958","58,483"
2842,"70,801","83,980"
2852,"76,449","96,571"
2857,"74,686","86,941"
2858,"65,948","78,029"
2859,"70,127","77,007"
2860,"35,154","44,984"
2861,"53,929","61,309"
2863,"33,666","40,875"
2864,"73,450","84,792"
2865,"75,540","94,794"
2871,"59,264","80,285"
2872,"71,705","94,978"
2873,"71,104","79,440"
2874,"90,020","118,609"
2875,"72,819","89,720"
2876,"80,080","88,709"
2878,"62,530","76,645"
2879,"70,848","90,447"
2881,"47,075","60,168"
2882,"61,144","87,365"
2885,"54,317","71,228"
2886,"59,954","71,363"
2888,"58,509","66,680"
2889,"60,122","68,714"
2891,"61,399","74,554"
2892,"80,222","98,074"
2893,"52,342","60,430"
2894,"72,539","88,044"
2895,"40,457","48,968"
2896,"79,213","87,184"
2898,"72,768","89,413"
2903,"26,262","51,971"
2904,"44,102","57,490"
2905,"34,503","46,205"
2906,"64,563","102,753"
2907,"30,216","40,140"
2908,"40,373","52,099"
2909,"33,877","45,087"
2910,"58,287","62,429"
2911,"48,687","58,607"
2912,"60,938","124,502"
2914,"46,275","55,014"
2915,"52,780","67,882"
2916,"59,302","73,541"
2917,"71,030","85,287"
2919,"59,408","66,484"
2920,"54,380","65,389"
2921,"85,748","105,690"
3031,"115,544","134,503"
3032,"90,082","98,874"
3033,"101,722","105,947"
3034,"90,986","96,056"
3036,"99,970","114,222"
3037,"85,573","93,969"
3038,"72,374","82,126"
3042,"73,405","87,635"
3043,"67,541","77,721"
3044,"76,929","80,916"
3045,"76,696","85,933"
3046,"95,682","112,556"
3047,"69,136","80,002"
3048,"63,151","70,795"
3049,"112,885","159,945"
3051,"77,996","88,948"
3052,"100,051","102,541"
3053,"93,465","104,876"
3054,"92,954","100,328"
3055,"70,617","80,757"
3057,"97,234","110,769"
3060,"45,861","58,717"
3062,"83,501","94,152"
3063,"75,894","85,916"
3064,"68,657","83,760"
3070,"86,118","108,691"
3071,"72,739","85,830"
3076,"93,085","103,680"
3077,"61,164","69,251"
3079,"68,841","87,526"
3082,"80,299","77,177"
3084,"72,806","85,920"
3086,"68,090","97,907"
3087,"114,204","134,056"
3101,"28,275","44,234"
3102,"50,355","60,184"
3103,"51,018","59,129"
3104,"61,017","74,121"
3106,"53,663","67,135"
3109,"67,513","73,274"
3110,"117,684","146,355"
3215,"49,073","61,071"
3216,"64,522","73,462"
3217,"44,153","63,301"
3218,"65,727","70,499"
3220,"56,585","60,860"
3221,"67,314","79,913"
3222,"47,954","57,441"
3223,"44,546","58,613"
3224,"78,500","85,675"
3225,"65,804","70,742"
3226,"1,341","1,856"
3227,"51,866","69,455"
3229,"86,083","112,531"
3230,"62,943","70,846"
3231,"64,522","73,462"
3233,"66,146","93,832"
3234,"71,686","76,545"
3235,"49,138","54,173"
3237,"64,219","78,346"
3238,"44,050","54,023"
3240,"54,297","60,586"
3241,"70,144","97,030"
3242,"73,472","79,535"
3243,"62,943","70,846"
3244,"57,426","65,981"
3245,"44,153","63,301"
3246,"45,867","60,388"
3249,"60,450","85,894"
3251,"49,073","61,071"
3253,"58,931","74,305"
3254,"74,162","102,346"
3255,"67,396","80,093"
3256,585,695
3257,"66,175","93,511"
3258,"74,808","84,333"
3259,"51,866","69,455"
3260,"67,396","80,093"
3261,"64,816","77,245"
3262,"44,050","54,023"
3263,"57,987","64,562"
3264,"43,783","55,678"
3266,"51,840","69,530"
3268,"64,522","73,462"
3269,"61,702","74,989"
3273,"67,396","80,093"
3275,"58,388","69,108"
3276,"55,931","60,462"
3278,"63,262","71,038"
3279,"44,050","54,023"
3280,"52,648","63,213"
3281,"78,480","88,983"
3282,"59,259","66,151"
3284,"81,000","87,997"
3285,"49,073","61,071"
3287,"62,943","70,846"
3290,"98,477","105,299"
3291,"98,542","105,353"
3293,"44,050","54,023"
3301,"52,876","72,338"
3303,"57,450","64,970"
3304,"103,270","119,136"
3307,"74,570","93,317"
3431,"49,288","64,159"
3440,"61,481","66,225"
3441,"36,932","48,336"
3442,"67,351","77,729"
3443,"79,400","100,196"
3444,"60,369","74,292"
3445,"60,369","74,292"
3446,"52,053","62,433"
3447,"67,839","76,203"
3448,"55,170","68,978"
3449,"64,231","93,445"
3450,"60,369","74,292"
3451,"44,533","50,539"
3452,"56,637","71,304"
3455,"55,913","65,606"
3456,"55,170","68,978"
3457,"60,369","74,292"
3458,"70,275","86,328"
3461,"68,250","78,731"
3462,"79,400","100,196"
3464,"60,369","74,292"
3465,"55,910","65,536"
3466,"79,400","100,196"
3467,"79,400","100,196"
3470,"43,642","54,386"
3561,"44,787","53,312"
3570,"39,342","45,740"
3574,"58,082","67,369"
3575,"60,741","70,341"
3576,"36,884","47,521"
3579,"41,891","44,965"
3580,"56,505","66,182"
3581,"43,217","61,600"
3582,"35,740","41,166"
3583,"60,741","70,341"
3584,"46,889","64,494"
3585,"50,406","61,591"
3586,"58,082","67,369"
3588,"52,026","55,843"
3590,"35,828","42,695"
3592,"38,616","46,857"
3593,"60,741","70,341"
3595,"60,741","70,341"
3597,"38,550","46,726"
3598,"48,061","53,959"
3601,"58,667","63,858"
3602,"56,041","67,702"
3603,"49,290","54,965"
3604,"58,112","62,174"
3605,"52,648","63,213"
3607,"58,667","63,858"
3608,"58,112","62,174"
3609,"58,112","62,174"
3740,"50,092","61,154"
3741,"60,392","64,937"
3743,"42,247","51,372"
3745,"77,619","93,315"
3746,"77,619","93,315"
3748,"61,496","70,303"
3750,"110,729","170,957"
3751,"64,611","77,239"
3752,"52,648","63,213"
3753,"81,000","87,997"
3754,"45,794","50,574"
3755,"81,607","118,009"
3765,"41,575","49,288"
3766,"59,682","73,873"
3768,"70,144","97,030"
3770,"77,619","93,315"
3771,"50,406","61,591"
3773,"49,852","54,854"
3774,"41,575","49,288"
3777,"59,259","66,151"
3779,"59,259","66,151"
3780,"41,614","49,362"
3781,"77,619","93,315"
3782,"59,775","74,054"
3784,"56,652","73,403"
3785,"42,817","51,208"
3801,"63,815","80,794"
3809,"57,560","71,765"
3810,"57,569","71,774"
3811,"87,514","105,490"
3812,"46,357","66,711"
3813,"46,708","59,878"
3814,"44,967","50,007"
3816,"52,679","71,728"
3817,"51,866","69,455"
3818,"49,733","63,387"
3819,"78,083","85,681"
3820,"59,989","73,476"
3823,"72,209","93,556"
3824,"60,676","89,886"
3825,"74,102","78,995"
3826,"82,711","96,581"
3827,"87,103","110,233"
3830,"46,406","54,838"
3832,"55,531","71,353"
3833,"74,806","91,971"
3835,"47,975","59,713"
3836,"45,728","56,866"
3837,"64,219","78,346"
3838,"46,357","66,711"
3839,"55,733","64,831"
3840,"75,526","109,858"
3841,"83,959","99,306"
3842,"72,310","83,441"
3844,"112,417","148,972"
3845,"45,924","65,853"
3846,"46,357","66,711"
3847,"40,661","55,428"
3848,"69,792","78,509"
3849,"55,543","71,375"
3850,"52,679","71,728"
3851,"58,382","64,122"
3852,"58,382","64,122"
3853,"52,679","71,728"
3854,"67,292","109,947"
3855,"60,625","70,704"
3856,"79,824","91,594"
3857,"70,588","85,299"
3858,"87,257","83,256"
3860,"40,861","55,726"
3861,"72,209","93,556"
3862,"75,081","114,862"
3864,"44,967","50,007"
3865,"76,471","88,998"
3867,"51,183","63,716"
3868,"53,629","60,462"
3869,"66,161","83,345"
3870,"85,268","117,242"
3871,"85,268","117,242"
3872,"46,406","54,838"
3873,"84,362","98,243"
3874,"52,645","64,487"
3875,"55,214","71,203"
3878,"52,254","61,720"
3882,"45,728","56,866"
3883,"51,866","69,455"
3884,"72,303","91,267"
3885,"106,572","122,575"
3886,"51,872","69,458"
3887,"57,598","67,326"
3890,"44,967","50,007"
3894,"55,652","72,825"
3901,"61,513","67,714"
3902,"72,016","86,286"
3903,"66,854","89,730"
3904,"52,799","63,631"
3905,"54,048","64,496"
3906,"57,711","64,639"
3907,"57,542","71,288"
3908,"75,007","80,578"
3909,"61,753","77,941"
3910,"57,101","74,158"
3911,"57,101","74,158"
4001,"51,227","62,454"
4002,"62,908","67,672"
4003,"66,055","75,809"
4005,"49,409","57,937"
4006,"61,583","78,343"
4008,"63,192","68,092"
4009,"42,420","50,711"
4010,"42,439","55,342"
4011,"51,062","65,065"
4015,"51,656","54,366"
4017,"85,168","120,334"
4019,"58,429","99,366"
4020,"48,269","52,426"
4021,"85,168","120,334"
4022,"42,439","55,342"
4024,"52,059","58,563"
4027,"56,227","59,965"
4029,"52,059","58,563"
4030,"60,288","64,959"
4032,"60,895","82,043"
4037,"37,578","47,999"
4038,"70,795","82,719"
4039,"67,751","75,773"
4040,"42,035","59,390"
4041,"40,694","53,327"
4042,"57,536","62,297"
4043,"73,978","90,301"
4046,"60,745","77,919"
4047,"48,269","52,426"
4048,"50,684","54,533"
4049,"56,924","62,757"
4050,"58,429","99,366"
4051,"45,086","59,891"
4055,"52,824","63,915"
4056,"51,227","62,454"
4057,"42,420","50,711"
4061,"60,288","64,959"
4062,"57,302","68,309"
4063,"31,529","42,364"
4064,"40,589","52,077"
4066,"66,055","75,809"
4068,"40,694","53,327"
4069,"65,117","70,252"
4071,"63,873","74,801"
4072,"42,759","46,958"
4073,"43,224","51,777"
4074,"77,285","95,129"
4076,"51,227","62,454"
4079,"63,939","74,123"
4083,"44,589","51,145"
4084,"70,905","73,031"
4085,"55,429","57,086"
4086,"63,864","75,742"
4087,"60,288","64,959"
4088,"45,086","59,891"
4090,"63,243","72,031"
4091,"52,059","58,563"
4092,"46,303","60,730"
4093,"55,999","67,329"
4095,"51,217","62,419"
4096,"77,652","109,954"
4097,"70,858","101,181"
4101,"28,472","42,273"
4102,"50,475","62,791"
4103,"55,954","65,488"
4105,"88,841","121,369"
4106,"51,529","64,212"
4107,"81,192","123,633"
4108,"58,429","99,366"
4109,"58,429","99,366"
4110,"85,168","120,334"
4210,"42,117","55,830"
4217,"38,631","49,975"
4219,"43,994","52,567"
4220,"45,756","55,195"
4221,"41,350","48,315"
4222,"74,952","81,279"
4224,"41,466","48,372"
4227,"41,401","48,028"
4228,"32,677","38,772"
4231,"44,549","52,546"
4234,"31,406","49,005"
4236,"56,719","60,233"
4237,"39,861","52,721"
4238,"48,258","56,934"
4239,"40,208","44,444"
4240,"37,562","47,465"
4250,"42,531","55,021"
4252,"45,635","51,141"
4253,"41,833","57,404"
4254,"32,677","38,772"
4255,"44,549","52,546"
